Transaction_ID,Transaction_Date,Region,Product,Customer_ID,Sales_Amount,Cost_Amount,Profit_Reported,Discount_Percentage,Payment_Method
TXN44708,17-10-2024,West,Product D,1020,38855,11968,26887,20,Credit Card
TXN51214,2024/03/08,North,Product C,1090,18598,29007,-10409,20,
TXN79548,2024/04/23,East,Product A,1080,37440,3487,33141,10,UPI
TXN42473,10-12-2024,South,Product B,1013,12859,23537,-10678,5,Credit Card
TXN17667,02-12-2024,North,Product C,1030,48250,19054,29196,0,Credit Card
TXN22561,2024/08/30,West,Product D,1054,3497,5915,-2418,0,Cash
TXN31146,2024/05/16,West,Product D,1065,38397,15646,22751,5,UPI
TXN30270,29-08-2024,North,Product D,1044,14405,10972,3433,10,Cash
TXN58953,13-11-2024,East,Product B,1095,3109,16367,-13258,15,
TXN49946,09-06-2024,West,Product B,1046,43581,34325,9256,20,Credit Card
TXN66193,2024/05/19,East,Product C,1048,49499,38891,10608,5,
TXN42315,20-11-2024,,Product B,1082,21491,14066,7425,15,
TXN18455,16-03-2024,West,Product A,1094,47783,36827,10956,0,Credit Card
TXN40961,12-02-2024,,Product A,1057,11162,28122,-16960,0,Credit Card
TXN57265,08-01-2024,North,Product B,1037,3773,30661,-26888,20,Debit Card
TXN61300,2024/02/14,South,Product C,1059,36312,2688,33624,20,Credit Card
TXN72046,2024/12/19,South,Product C,1003,26626,28277,-1651,5,Debit Card
TXN95178,2024/12/26,South,Product B,1040,7049,35582,-27175,0,UPI
TXN26710,2024/12/12,,Product B,1045,29552,23257,6295,20,UPI
TXN23818,2024/11/01,South,Product C,1057,39144,19754,19390,20,Credit Card
TXN65783,12-12-2024,North,Product D,1033,25896,30043,-4147,10,Debit Card
TXN61990,19-11-2024,North,Product A,1097,7193,16569,-10617,5,Debit Card
TXN91471,2024/06/13,,Product A,1064,37668,5450,32218,10,Cash
TXN24004,2024/04/10,,Product C,1083,7356,7987,-631,20,Debit Card
TXN48460,2024/08/27,North,Product C,1085,37355,13532,23823,20,Credit Card
TXN76988,08-04-2024,West,Product A,1034,39931,37547,2384,5,Cash
TXN92694,08-01-2024,North,Product D,1089,39423,35660,3967,15,Credit Card
TXN11971,03-04-2024,North,Product C,1056,11416,26128,-14712,10,Cash
TXN58689,2024/05/16,West,Product B,1048,8561,39365,-30804,0,UPI
TXN13494,2024/06/01,East,Product B,1075,17152,33682,-16530,20,Debit Card
TXN12922,28-12-2024,,Product A,1018,43607,27153,16454,10,
TXN41180,16-07-2024,,Product B,1043,19836,19468,-871,10,Cash
TXN55994,10-12-2024,South,Product B,1082,24847,17112,7735,15,Debit Card
TXN31112,24-03-2024,East,Product B,1023,6490,1862,4628,15,Cash
TXN15922,2024/06/07,,Product B,1081,33962,16800,17162,10,Cash
TXN94651,2024/11/10,,Product B,1090,16837,980,15857,15,Debit Card
TXN91271,2024/07/12,East,Product C,1004,39943,11455,28488,10,Cash
TXN22082,29-05-2024,,Product C,1010,25569,9368,16201,10,UPI
TXN58536,2024/11/24,East,Product B,1013,43100,10285,34714,0,
TXN91947,31-07-2024,East,Product C,1081,20836,13105,7731,20,Cash
TXN99544,17-05-2024,,Product B,1015,15641,38448,-22807,15,Credit Card
TXN24888,2024/12/08,,Product C,1080,11140,22283,-11143,15,UPI
TXN13570,25-09-2024,,Product D,1095,27097,6472,20625,20,UPI
TXN53715,2024/11/12,East,Product B,1095,40269,25557,14712,0,Debit Card
TXN30612,14-10-2024,East,Product B,1024,22580,999,21581,5,Credit Card
TXN47272,19-08-2024,North,Product B,1005,34505,29591,5541,10,Cash
TXN93772,2024/05/28,,Product B,1059,31472,35127,-3655,10,Credit Card
TXN36594,16-07-2024,,Product C,1053,44752,16092,28660,10,Cash
TXN45498,2024/12/09,,Product C,1074,29992,3185,26807,5,Credit Card
TXN31634,2024/01/13,,Product C,1036,16506,37954,-21448,5,Cash
TXN95734,06-09-2024,North,Product B,1100,43022,34268,8754,15,
TXN91534,2024/04/17,South,Product B,1056,11962,30035,-18073,0,
TXN54359,08-03-2024,East,Product C,1089,32239,11117,21122,5,
TXN28654,09-09-2024,,Product A,1025,1286,22663,-21377,15,Credit Card
TXN43636,2024/08/28,,Product A,1002,48418,1210,46399,15,Credit Card
TXN81750,08-07-2024,,Product D,1044,47541,7574,39967,20,UPI
TXN97167,24-07-2024,West,Product A,1047,8354,17840,-9486,10,Cash
TXN73193,2024/12/20,,Product A,1042,1423,20943,-19520,15,
TXN28092,04-10-2024,South,Product C,1022,27713,38831,-11118,5,Credit Card
TXN48941,06-02-2024,,Product A,1012,15112,14747,365,5,
TXN11011,02-05-2024,,Product B,1073,5574,2783,2791,0,UPI
TXN95106,17-07-2024,East,Product C,1057,2961,18048,-15087,0,UPI
TXN88201,04-01-2024,,Product B,1081,40160,32384,7776,20,Cash
TXN37184,2024/01/09,North,Product C,1094,7796,24362,-16566,5,Debit Card
TXN35004,2024/12/09,,Product B,1058,33005,39039,-6034,15,Debit Card
TXN57587,2024/03/28,South,Product B,1035,3969,38680,-34711,10,Credit Card
TXN96005,31-12-2024,,Product C,1030,22719,14116,8603,0,UPI
TXN51321,24-06-2024,North,Product A,1045,14493,35967,-20493,5,Debit Card
TXN36774,08-12-2024,West,Product A,1006,10351,18255,-7904,20,
TXN65302,08-11-2024,,Product A,1030,47688,39795,7893,20,
TXN20917,2024/06/30,West,Product B,1037,18125,9892,8233,5,Cash
TXN23270,2024/04/03,West,Product B,1076,36758,36802,-44,0,
TXN95846,15-09-2024,,Product C,1011,37467,4601,32866,15,
TXN36302,21-05-2024,West,Product B,1100,46918,1654,45264,0,Debit Card
TXN77410,22-11-2024,East,Product C,1031,49006,9628,39378,0,
TXN78306,07-02-2024,East,Product B,1088,36083,22698,13385,0,Debit Card
TXN98421,30-03-2024,South,Product B,1081,15248,22424,-7176,10,Credit Card
TXN85538,2024/01/29,West,Product D,1057,20561,6873,13688,0,UPI
TXN26497,28-03-2024,North,Product D,1024,19816,3877,15939,5,Credit Card
TXN18084,12-12-2024,North,Product B,1081,37822,17950,19872,0,
TXN83900,2024/03/25,North,Product A,1049,46598,9556,37042,10,
TXN79499,2024/02/14,,Product A,1044,28298,30095,-1797,5,Credit Card
TXN61039,2024/10/08,,Product D,1062,29873,33213,-3340,0,UPI
TXN54450,13-08-2024,East,Product B,1067,27637,9744,17893,15,
TXN59974,2024/08/18,West,Product A,1049,48119,4345,43774,0,
TXN97288,06-01-2024,,Product D,1011,49781,4122,45659,0,UPI
TXN69785,2024/03/11,,Product B,1066,31183,9899,21284,0,Cash
TXN56254,2024/10/02,South,Product C,1011,11283,24801,-13518,15,
TXN94254,17-12-2024,East,Product A,1035,33253,35546,-2293,15,
TXN83627,2024/07/16,,Product B,1021,9441,36486,-27045,10,Debit Card
TXN92972,07-08-2024,West,Product D,1029,28588,27467,1121,10,Credit Card
TXN28751,18-10-2024,East,Product C,1079,29651,24094,5557,15,UPI
TXN94425,2024/10/14,North,Product B,1030,26537,15710,11443,20,UPI
TXN31203,13-01-2024,,Product C,1074,43023,35796,6347,5,
TXN25446,27-01-2024,,Product A,1035,22131,38545,-16414,5,
TXN39379,2024/03/19,North,Product C,1053,6542,8824,-2282,5,Debit Card
TXN53558,21-12-2024,East,Product C,1015,48534,3800,44734,10,
TXN74372,19-05-2024,East,Product D,1060,17621,37119,-19498,20,Credit Card
TXN34933,15-05-2024,South,Product B,1083,5576,31360,-25784,15,Cash
TXN96227,29-01-2024,West,Product A,1060,2866,24012,-21146,5,UPI
TXN47864,2024/07/25,North,Product A,1029,39434,28227,11207,20,Credit Card
TXN96546,2024/04/20,East,Product A,1025,19768,29669,-9901,20,UPI
TXN51978,2024/12/12,South,Product A,1066,22064,34426,-12362,20,Debit Card
TXN76973,25-11-2024,,Product A,1046,1141,21579,-20438,20,
TXN33055,2024/10/06,West,Product A,1061,35911,34670,1241,15,Cash
TXN70501,18-10-2024,North,Product A,1063,28062,39556,-11494,0,UPI
TXN85555,02-12-2024,,Product A,1085,27022,16079,10943,5,
TXN22056,2024/07/18,North,Product A,1050,10256,8448,1808,5,Credit Card
TXN81827,25-09-2024,North,Product D,1026,3737,11285,-7548,10,
TXN44507,2024/07/15,West,Product B,1062,17011,36335,-19324,15,
TXN67241,2024/03/12,South,Product C,1051,37147,15509,21638,15,Credit Card
TXN69261,2024/01/05,,Product C,1031,14914,21723,-6809,15,UPI
TXN46517,2024/01/14,East,Product C,1082,47639,17438,30201,0,Debit Card
TXN82239,27-06-2024,,Product C,1099,17778,3422,14356,10,Credit Card
TXN72663,2024/11/13,West,Product C,1023,36275,13590,22685,15,Debit Card
TXN14049,12-09-2024,West,Product C,1073,13150,3971,9179,10,Debit Card
TXN88056,2024/07/31,South,Product D,1009,44681,16905,27776,0,Cash
TXN13148,09-10-2024,,Product D,1079,4245,32562,-28317,15,UPI
TXN61815,20-10-2024,,Product C,1005,41384,22951,18433,15,Credit Card
TXN30791,10-05-2024,South,Product B,1017,42197,4222,37975,15,Debit Card
TXN18317,29-10-2024,South,Product A,1027,16577,11296,5281,15,Cash
TXN52355,2024/10/22,,Product A,1001,24679,13207,11472,15,UPI
TXN94234,10-02-2024,South,Product D,1078,37586,17779,19807,15,
TXN55948,11-02-2024,East,Product A,1056,7637,21201,-13564,10,
TXN82249,2024/02/29,South,Product B,1066,36605,15484,21121,15,Debit Card
TXN33543,2024/04/10,East,Product A,1024,3724,31888,-26808,10,UPI
TXN47985,2024/11/27,,Product D,1031,7902,17287,-9385,0,
TXN47028,2024/07/17,,Product D,1060,34470,7967,26503,10,
TXN77106,06-07-2024,East,Product C,1006,20852,29383,-8531,5,Debit Card
TXN57888,2024/10/05,North,Product B,1083,14547,31198,-16651,15,Credit Card
TXN80707,19-09-2024,North,Product B,1043,19859,12175,7684,0,Debit Card
TXN95887,04-09-2024,,Product A,1011,12585,25242,-12657,15,Cash
TXN48367,2024/01/15,West,Product D,1098,32727,5558,27169,5,Debit Card
TXN64066,2024/03/06,,Product B,1090,40455,32077,8378,10,Credit Card
TXN97657,2024/06/11,South,Product C,1008,49246,29909,19337,5,
TXN44669,27-04-2024,East,Product C,1070,32612,22852,9760,10,Cash
TXN14026,2024/03/20,West,Product D,1060,30439,2037,28402,10,UPI
TXN55383,2024/12/27,West,Product D,1007,25797,17659,7907,5,Debit Card
TXN33954,2024/08/24,North,Product D,1036,45626,10410,35216,20,Cash
TXN58017,2024/03/06,South,Product D,1069,19062,31568,-12506,15,Credit Card
TXN95380,2024/01/19,,Product A,1057,44456,21112,23344,20,
TXN16752,06-03-2024,North,Product A,1092,40957,19619,21338,15,Credit Card
TXN32544,2024/05/07,East,Product B,1007,23954,2944,21010,0,Credit Card
TXN27864,2024/03/09,,Product C,1060,46498,34016,12482,10,UPI
TXN40072,2024/01/04,West,Product A,1095,6171,11829,-5658,5,Cash
TXN96532,2024/01/16,East,Product D,1062,37513,4519,32994,5,UPI
TXN28954,2024/09/26,South,Product A,1036,45823,36430,9393,15,Cash
TXN21948,02-12-2024,South,Product A,1094,4651,29023,-24372,5,UPI
TXN12168,2024/03/22,North,Product A,1029,18601,2795,15806,15,Credit Card
TXN59799,2024/10/07,South,Product D,1070,7912,26871,-18959,15,Debit Card
TXN72321,23-09-2024,,Product B,1055,7515,31462,-23877,0,Cash
TXN59529,22-09-2024,North,Product D,1000,18726,39584,-20858,5,UPI
TXN31947,2024/12/20,South,Product B,1099,42028,28269,13759,10,Cash
TXN70983,2024/04/01,East,Product B,1071,19738,1588,18150,10,Cash
TXN54275,2024/10/03,North,Product A,1025,42263,6602,35661,0,UPI
TXN25543,2024/03/20,South,Product B,1046,41765,22144,19621,20,Credit Card
TXN69397,07-10-2024,,Product B,1014,21897,14263,7634,10,UPI
TXN54697,07-07-2024,East,Product D,1019,43649,28314,15335,15,Debit Card
TXN90548,12-07-2024,East,Product D,1083,29866,12939,16927,15,
TXN80539,03-10-2024,West,Product C,1033,15268,9842,5426,10,Cash
TXN37824,02-08-2024,South,Product C,1080,46624,23220,23404,10,UPI
TXN31027,2024/09/02,West,Product A,1061,47190,27313,19877,5,Debit Card
TXN68948,2024/06/19,South,Product B,1019,29595,22060,7535,20,
TXN67314,2024/03/20,North,Product C,1014,43808,17681,26127,5,Credit Card
TXN37325,13-03-2024,East,Product A,1048,22550,1194,21356,15,UPI
TXN45127,2024/05/28,West,Product B,1032,20352,38568,-18216,20,
TXN50895,03-05-2024,South,Product B,1082,33578,1189,32389,10,
TXN82648,2024/08/06,North,Product C,1087,43982,1031,42951,0,Credit Card
TXN69679,25-09-2024,North,Product B,1057,16515,3057,13458,20,
TXN67687,2024/08/02,South,Product D,1033,39555,22847,16708,15,
TXN82506,2024/01/08,East,Product B,1083,12278,14652,-3183,10,
TXN56438,09-06-2024,South,Product D,1087,30432,9816,20616,0,
TXN13699,04-02-2024,North,Product B,1034,39245,8674,30571,0,Debit Card
TXN92817,2024/06/12,,Product B,1075,35257,31186,4071,10,UPI
TXN64595,2024/10/15,North,Product A,1098,8348,16307,-7959,10,
TXN81090,22-03-2024,North,Product B,1029,22252,26933,-4681,0,UPI
TXN73291,12-05-2024,East,Product C,1010,2559,1448,1111,5,Cash
TXN97528,2024/08/11,,Product B,1061,12988,22850,-9862,20,Cash
TXN78236,2024/02/06,,Product A,1056,35636,15484,20152,5,
TXN78148,13-09-2024,West,Product B,1040,48567,31445,16473,20,Debit Card
TXN25662,07-05-2024,,Product A,1087,45853,36599,9254,15,Debit Card
TXN94614,15-12-2024,,Product A,1043,46182,29734,16448,0,
TXN83684,22-11-2024,,Product D,1000,27609,23618,3991,5,Cash
TXN57549,2024/06/03,South,Product A,1063,7913,7371,542,0,Debit Card
TXN49368,30-12-2024,West,Product B,1071,31243,37712,-6469,0,UPI
TXN92425,14-11-2024,North,Product C,1056,17556,21064,-3508,15,UPI
TXN93102,08-04-2024,East,Product B,1089,36297,2880,31874,5,UPI
TXN33459,11-09-2024,South,Product B,1051,40851,24896,15955,5,Debit Card
TXN22377,2024/08/15,,Product C,1017,7686,21888,-14202,15,UPI
TXN27150,19-07-2024,West,Product B,1048,36973,17931,19042,15,Credit Card
TXN61935,2024/08/21,,Product D,1022,6312,7004,-692,20,Credit Card
TXN35548,2024/03/17,West,Product A,1072,22478,13501,8977,20,Cash
TXN13130,2024/08/13,,Product B,1047,48451,30508,17943,0,UPI
TXN59647,2024/03/02,,Product C,1003,42231,1082,41149,20,Debit Card
TXN26764,21-07-2024,East,Product A,1012,16453,39576,-23123,15,
TXN39081,12-09-2024,East,Product A,1076,43134,24173,18961,15,Debit Card
TXN33340,26-01-2024,North,Product B,1051,8658,1848,6810,10,Credit Card
TXN50044,25-08-2024,South,Product C,1092,9992,4369,5623,10,Cash
TXN35198,19-10-2024,West,Product A,1047,12791,11983,808,20,Debit Card
TXN65763,28-03-2024,North,Product A,1026,18414,25829,-7415,20,Credit Card
TXN65269,10-06-2024,South,Product A,1022,41232,20759,18478,5,Credit Card
TXN33395,11-08-2024,,Product C,1096,23395,33381,-9986,15,Debit Card
TXN98737,2024/11/28,,Product A,1009,19744,33663,-13919,20,Cash
TXN28733,17-06-2024,North,Product B,1094,23820,1975,21845,10,Debit Card
TXN18842,10-12-2024,,Product A,1057,11345,36708,-25363,10,
TXN37985,2024/01/25,South,Product B,1038,30821,18144,12677,15,Credit Card
TXN87524,2024/08/08,East,Product B,1042,26859,20159,6700,10,Cash
TXN85917,2024/06/27,West,Product A,1039,5217,15175,-9958,5,Credit Card
TXN42304,24-04-2024,,Product D,1013,42640,24811,17829,0,UPI
TXN48046,23-03-2024,South,Product D,1002,7118,22472,-15354,15,
TXN44269,2024/04/14,,Product B,1077,30744,35485,-4741,10,
TXN61596,2024/02/07,South,Product C,1008,5102,11138,-6036,5,Credit Card
TXN49918,27-08-2024,,Product C,1013,40618,20885,19733,15,
TXN41719,06-06-2024,North,Product B,1075,36053,35428,625,20,Debit Card
TXN81564,30-05-2024,North,Product C,1011,8774,1907,6867,5,Credit Card
TXN60327,03-04-2024,East,Product B,1006,25346,30139,-4793,10,
TXN17526,26-01-2024,North,Product B,1075,2078,27013,-24935,0,Credit Card
TXN34849,12-08-2024,North,Product D,1026,49815,34852,14963,5,Cash
TXN53032,2024/08/29,,Product D,1056,25932,6785,19147,5,UPI
TXN93650,23-08-2024,East,Product B,1043,28145,18855,9290,0,Cash
TXN11795,26-01-2024,North,Product A,1009,3908,17499,-13591,15,Cash
TXN97767,2024/09/28,West,Product A,1075,38463,2774,35689,5,Debit Card
TXN40509,2024/11/15,East,Product A,1020,17047,12822,4225,15,UPI
TXN24076,26-10-2024,West,Product B,1027,33610,16260,17350,15,
TXN23036,2024/12/14,,Product C,1047,17415,23373,-5958,15,Debit Card
TXN21797,2024/05/22,West,Product A,1008,4684,34256,-29572,5,Credit Card
TXN50083,16-06-2024,South,Product A,1073,25213,20390,4823,20,Cash
TXN89192,17-10-2024,East,Product D,1074,6631,7932,-1301,0,
TXN69219,04-06-2024,South,Product A,1050,37015,1050,35965,15,
TXN89408,2024/01/21,West,Product B,1072,4214,9165,-4951,10,Credit Card
TXN79598,13-12-2024,South,Product D,1011,6393,18913,-12520,10,
TXN17552,31-05-2024,South,Product A,1001,10644,38563,-27919,20,
TXN82941,31-12-2024,North,Product A,1051,10230,4001,6229,5,Debit Card
TXN50334,22-05-2024,,Product B,1037,13669,38640,-24971,20,Debit Card
TXN74385,2024/04/01,North,Product A,1083,8325,7956,369,0,UPI
TXN45321,01-09-2024,West,Product D,1032,44756,37750,7006,10,
TXN71112,2024/09/18,West,Product B,1026,19863,19201,-669,15,Debit Card
TXN65294,29-05-2024,West,Product A,1017,28419,23410,5009,0,Debit Card
TXN51312,24-01-2024,South,Product D,1099,42119,9143,32976,10,Credit Card
TXN91733,2024/06/07,,Product D,1058,33888,14052,19836,5,UPI
TXN62521,10-07-2024,East,Product A,1045,25699,16054,9645,15,
TXN94122,02-12-2024,East,Product A,1017,30304,12232,18072,10,Debit Card
TXN76295,08-01-2024,,Product C,1047,32655,12371,20284,0,UPI
TXN38973,21-11-2024,West,Product A,1089,26244,13577,12667,5,UPI
TXN24499,09-12-2024,West,Product A,1072,40123,28294,11829,5,UPI
TXN47035,2024/11/04,West,Product D,1033,42652,13332,29320,10,Debit Card
TXN22822,2024/06/12,,Product B,1074,21303,10451,10852,10,
TXN65803,2024/05/30,North,Product D,1013,33528,30724,2804,15,Cash
TXN36621,17-06-2024,North,Product A,1075,48313,31372,16941,10,Credit Card
TXN41668,2024/10/15,South,Product C,1035,48343,1107,47236,15,Credit Card
TXN44702,2024/12/24,East,Product B,1016,9606,14871,-7184,0,Credit Card
TXN53458,2024/12/04,North,Product A,1033,26165,37192,-11027,15,
TXN54164,31-08-2024,West,Product D,1021,22746,5401,17345,5,
TXN18614,2024/07/11,North,Product A,1018,5419,7455,-2036,5,Debit Card
TXN91896,2024/06/11,,Product A,1032,35410,17511,17899,15,Debit Card
TXN75752,2024/09/13,North,Product C,1082,3314,27975,-24661,0,Credit Card
TXN46574,28-08-2024,,Product B,1097,48252,1041,47211,20,Cash
TXN29094,24-02-2024,South,Product A,1009,24381,37866,-13485,0,Credit Card
TXN89865,2024/04/13,North,Product C,1016,37075,39109,-2034,10,
TXN67634,2024/11/15,West,Product C,1054,46171,11475,34696,20,UPI
TXN12110,2024/12/18,,Product B,1062,21281,36780,-15499,5,UPI
TXN65189,2024/12/02,West,Product A,1082,48091,9626,38465,0,Cash
TXN41524,24-04-2024,,Product C,1048,5488,2234,3254,10,UPI
TXN40705,10-04-2024,,Product D,1089,38016,33890,4126,5,
TXN66325,30-09-2024,North,Product D,1062,19131,11179,7952,10,
TXN78957,21-08-2024,,Product D,1093,32158,32972,-814,15,
TXN18883,11-05-2024,,Product A,1037,12477,11708,769,10,
TXN60202,26-08-2024,,Product B,1062,16151,22623,-6472,0,Debit Card
TXN33863,2024/07/12,North,Product B,1086,20164,27937,-7773,10,
TXN55397,16-03-2024,,Product C,1034,24462,14255,10207,10,
TXN94568,2024/11/20,,Product C,1063,21878,29019,-7141,10,
TXN58475,02-02-2024,,Product A,1009,31453,39879,-8426,0,UPI
TXN99726,07-08-2024,,Product B,1100,29394,12915,16479,15,Debit Card
TXN39061,2024/12/08,North,Product D,1015,29295,19483,9812,10,Cash
TXN35126,2024/03/25,South,Product A,1046,9467,12140,-2673,0,UPI
TXN10935,21-02-2024,South,Product C,1028,6995,12470,-5475,20,Debit Card
TXN33247,01-10-2024,,Product C,1024,1322,13644,-12322,5,Credit Card
TXN72644,08-05-2024,,Product A,1037,17487,9787,7700,10,Cash
TXN72050,03-06-2024,West,Product D,1024,49584,36355,13229,5,Credit Card
TXN83071,2024/02/18,South,Product B,1010,12564,34545,-21981,0,Credit Card
TXN71282,2024/10/11,South,Product D,1010,36449,8988,28253,20,Debit Card
TXN40605,21-08-2024,West,Product C,1075,45651,30556,15095,20,Debit Card
TXN91523,27-04-2024,East,Product B,1021,21961,16333,5628,0,
TXN37182,25-10-2024,North,Product D,1080,13828,23228,-9400,0,
TXN50737,29-06-2024,South,Product A,1038,1116,21964,-20848,15,Debit Card
TXN77309,2024/01/31,South,Product D,1057,31247,26875,4372,0,Cash
TXN78596,28-08-2024,East,Product B,1052,45127,30946,14181,0,Debit Card
TXN88998,2024/10/19,South,Product D,1045,19159,37382,-18523,0,Debit Card
TXN12484,2024/12/18,East,Product A,1093,10495,35219,-24724,20,Debit Card
TXN61024,2024/10/06,West,Product C,1021,29110,21916,7194,5,UPI
TXN26551,2024/11/04,West,Product C,1074,4542,26216,-23269,5,
TXN33906,29-03-2024,North,Product D,1031,45245,14627,30618,20,Credit Card
TXN27369,2024/04/02,West,Product A,1008,32413,23038,9375,10,UPI
TXN98168,2024/04/09,,Product A,1003,10167,21261,-11094,15,Debit Card
TXN81687,2024/12/31,West,Product B,1031,17171,31397,-14226,20,Debit Card
TXN33904,2024/12/15,South,Product D,1079,35250,3011,31721,15,
TXN69054,2024/09/17,,Product D,1013,35563,16813,18750,10,
TXN88334,26-07-2024,West,Product B,1091,14320,19594,-5274,5,Credit Card
TXN78738,24-10-2024,West,Product A,1059,40497,9996,30501,20,
TXN68694,2024/12/02,East,Product C,1026,49765,18325,31440,5,Debit Card
TXN27651,11-10-2024,South,Product B,1083,32120,39861,-7741,10,Cash
TXN55598,07-01-2024,,Product D,1031,4327,31449,-27122,10,
TXN62825,2024/07/25,South,Product B,1030,17782,4374,13408,0,Debit Card
TXN22644,2024/05/28,South,Product A,1091,3835,39903,-36068,20,
TXN76420,30-03-2024,East,Product A,1089,27898,29115,-1217,10,
TXN75143,28-07-2024,South,Product A,1069,40750,14724,26026,0,Credit Card
TXN42500,21-03-2024,North,Product D,1071,1745,32654,-30909,20,Debit Card
TXN58490,2024/06/18,West,Product B,1037,47955,14798,33157,15,UPI
TXN11562,2024/02/17,,Product B,1091,30280,39816,-9536,0,UPI
TXN21435,2024/11/30,East,Product D,1038,12999,32401,-19402,15,UPI
TXN93399,22-05-2024,East,Product A,1092,28026,15898,12128,10,UPI
TXN56031,23-03-2024,North,Product D,1068,42942,25991,16951,0,UPI
TXN89531,02-10-2024,North,Product C,1008,4903,33048,-28145,15,
TXN25285,15-06-2024,South,Product D,1074,35310,11975,23335,0,Debit Card
TXN29005,2024/11/14,East,Product B,1047,28599,13692,16403,0,UPI
TXN74541,11-01-2024,East,Product C,1029,28287,34543,-6256,15,Cash
TXN86979,22-01-2024,,Product D,1038,9736,13938,-4202,5,Debit Card
TXN44821,25-08-2024,North,Product A,1054,40079,942,39137,20,UPI
TXN21179,2024/11/19,North,Product D,1095,11894,22602,-10708,15,Credit Card
TXN12678,07-03-2024,East,Product D,1097,35347,2353,32994,10,Debit Card
TXN71008,2024/10/02,,Product A,1018,6966,19799,-12833,5,UPI
TXN65429,05-04-2024,East,Product D,1088,35606,1263,34343,20,
TXN16517,12-08-2024,,Product C,1081,26290,13636,12654,20,Credit Card
TXN67327,16-12-2024,West,Product B,1071,20487,18992,1495,10,Credit Card
TXN19280,14-10-2024,,Product B,1016,1744,33817,-32073,15,UPI
TXN42840,12-01-2024,East,Product D,1016,44786,13798,30988,15,Debit Card
TXN70084,02-09-2024,East,Product B,1054,22560,12156,10404,0,
TXN87538,2024/07/08,North,Product D,1065,41914,14509,27405,5,Cash
TXN46440,20-02-2024,West,Product D,1083,48429,32698,15731,15,
TXN88184,14-07-2024,North,Product C,1080,40012,21686,18326,10,Debit Card
TXN68342,2024/02/04,North,Product C,1084,7537,13993,-6456,15,Debit Card
TXN12471,2024/11/23,,Product C,1043,42818,3667,39151,10,
TXN31779,2024/10/07,West,Product A,1045,35298,34015,1283,10,UPI
TXN40029,14-10-2024,West,Product A,1096,6619,2235,4384,5,Cash
TXN64734,01-10-2024,North,Product D,1050,37902,24992,12910,20,Debit Card
TXN19475,07-11-2024,North,Product D,1041,25089,22055,3034,5,Debit Card
TXN66587,2024/05/16,West,Product B,1012,21577,23972,-2395,0,Debit Card
TXN66046,17-10-2024,South,Product C,1036,22376,37819,-15443,20,UPI
TXN52642,16-07-2024,North,Product A,1068,25704,23428,2276,10,UPI
TXN53606,2024/07/06,,Product B,1024,15267,21348,-6081,15,
TXN40395,2024/08/19,,Product A,1070,29560,1726,27834,0,Credit Card
TXN28830,2024/02/15,,Product B,1051,19918,8952,10966,10,UPI
